Fecha,precio_cierre,precio_maximo,precio_minimo,Precio promedio ponderado,Variacion porcentual,Variacion absoluta,cantidad,volumen,ticker,log_ret_30,roc_30,log_ret_60,roc_60,log_ret_90,roc_90,ret_diario,volatilidad_20d,atr_14,volumen_ma20,volumen_relativo,max_52w,min_52w,prox_max_52w,prox_min_52w,rsi_14,dist_sma_20
2024-07-02,5020.0,7700.0,7700.0,5028.88,0.27,0.0,374.0,1880800.0,PROMIGAS,-0.3536824230022784,-0.2979020979020979,0.13068967431549508,0.13961407491486955,0.0919493000286795,0.09630923782485268,-0.34805194805194806,0.17087959054516083,596.4285714285714,172698285.25,0.010890669801829947,8180.0,4000.0,0.6136919314653189,1.25499999968625,37.962962901448904,-0.2424356749049369
2024-07-03,5120.0,5120.0,5100.0,5130.85,-3.21,-170.0,17265.0,88584180.0,PROMIGAS,-0.4067663444661362,-0.3342002600780234,0.08580471893073768,0.08959353053841235,0.17453941635189965,0.19069767441860463,0.019920318725099584,0.17096831044285876,590.7142857142857,172914628.25,0.5123000922277349,8180.0,4000.0,0.6259168703391299,1.27999999968,37.60186256968265,-0.21200461712781768
2024-07-05,6690.0,6690.0,6660.0,6663.52,0.6,40.0,56381.0,375696190.0,PROMIGAS,-0.14060645471950106,-0.13116883116883116,0.4419988514406204,0.5558139534883721,0.4896269004298749,0.6317073170731706,0.306640625,0.161226489721809,632.8571428571429,172465443.0,2.1783853244153835,8180.0,4000.0,0.8178484106579647,1.672499999581875,46.02215502071398,0.015174506826225415
2024-07-06,7180.0,7200.0,6880.0,7082.49,-0.14,-10.0,28052.0,198678020.0,PROMIGAS,-0.06992094579950538,-0.06753246753246755,0.5105935244264318,0.6662798793223486,0.5506035952229098,0.7342995169082125,0.07324364723467869,0.16143729239948534,599.2857142857143,180575516.5,1.100248936571636,7910.0,4000.0,0.9077117571545243,1.79499999955125,48.461538396301776,0.0726023304343289
2024-07-10,7700.0,7700.0,7700.0,7711.85,-0.14,0.0,5297.0,40849670.0,PROMIGAS,0.4820236328622845,0.6193480546792849,0.6205245410224152,0.8599033816425121,0.5710444837590455,0.7701149425287357,0.07242339832869082,0.16152054868851964,593.5714285714286,181517924.5,0.22504482745999982,7800.0,4000.0,0.9871794870529257,1.9249999995187501,49.99999993470149,0.12837045719103599
2024-07-11,7700.0,7700.0,7700.0,7704.68,-0.14,0.0,6555.0,50504150.0,PROMIGAS,0.41197978912935806,0.5098039215686274,0.4936578201436253,0.6382978723404256,0.5919511685783592,0.807511737089202,0.0,0.16137965592912049,593.5714285714286,162236554.5,0.31129944885509564,7700.0,4000.0,0.9999999998701298,1.9249999995187501,49.99999993470149,0.11039007857662556
2024-08-02,5120.0,5190.0,5100.0,5131.12,1.99,100.0,20759.0,106517010.0,PROMIGAS,-0.07159365318700882,-0.06909090909090909,0.17803388700167322,0.19486581096849465,0.21487703207847508,0.23970944309927367,-0.33506493506493507,0.16856910216534396,587.8571428571429,163943457.5,0.6497179675498752,7700.0,4000.0,0.6649350648487097,1.27999999968,50.47080972630967,-0.25096920484954
2024-08-03,5150.0,5150.0,5150.0,5165.98,0.59,30.0,3728.0,19258770.0,PROMIGAS,-0.32109806937162494,-0.27464788732394363,0.20391218938632222,0.22619047619047628,0.1665246573147019,0.1811926605504588,0.005859375,0.1684993995549375,570.7142857142857,156358695.5,0.12317044433259469,7700.0,4000.0,0.6688311687443076,1.2874999996781251,49.325626137711104,-0.23482653588368968
2024-08-04,5500.0,5500.0,5500.0,5503.12,0.18,10.0,12182.0,67039000.0,PROMIGAS,-0.2776317365982795,-0.24242424242424243,0.1508228897345837,0.16279069767441867,0.15718558352241235,0.17021276595744683,0.06796116504854366,0.16906940836763865,498.57142857142856,126737699.5,0.5289586308137104,7700.0,4000.0,0.7142857141929498,1.37499999965625,43.863393744494395,-0.17062504709784737
2024-08-05,6800.0,6800.0,6680.0,6761.98,1.64,110.0,36732.0,248381090.0,PROMIGAS,-0.09798040836020379,-0.09333333333333338,0.437593385094981,0.5489749430523918,0.45830758948254424,0.5813953488372092,0.23636363636363633,0.17712511854942758,552.8571428571429,138183494.5,1.7974729246697274,7700.0,4000.0,0.8831168830021926,1.6999999995750001,48.07502461272948,0.03084969301434856
2024-08-07,7200.0,7200.0,7100.0,7195.39,-0.69,-50.0,21900.0,157579040.0,PROMIGAS,-0.06713930283762856,-0.06493506493506496,0.5154660033224929,0.6744186046511629,0.5630940523117475,0.7560975609756098,0.05882352941176472,0.17741109215983566,559.2857142857143,135173073.0,1.165757620972328,7700.0,4000.0,0.9350649349434981,1.79999999955,48.532289561697446,0.09564026476517686
2024-08-08,7500.0,7510.0,7490.0,7494.04,0.0,0.0,37406.0,280322040.0,PROMIGAS,-0.026317308317373417,-0.025974025974025983,0.5930002319550064,0.8094089264173703,0.5447271754416719,0.7241379310344827,0.04166666666666674,0.1774876568991029,563.5714285714286,144157119.5,1.9445591100340904,7700.0,4000.0,0.9740259738994771,1.87499999953125,49.999999933460074,0.1430313190363436
2024-08-10,7700.0,7510.0,7490.0,7824.97,0.0,0.0,1015.0,7942340.0,PROMIGAS,0.4643056081310978,0.5909090909090908,0.39256170327225653,0.48076923076923084,0.5919511685783592,0.807511737089202,0.026666666666666616,0.155484786889261,550.7142857142857,142674535.5,0.055667537112815364,7700.0,4000.0,0.9999999998701298,1.9249999995187501,49.999999933460074,0.1500261369352511
2024-08-11,7700.0,7700.0,7700.0,7701.83,0.0,0.0,16319.0,125686220.0,PROMIGAS,0.41197978912935806,0.5098039215686274,0.41197978912935806,0.5098039215686274,0.6229429218866968,0.8644067796610169,0.0,0.15559723297281305,550.7142857142857,144947454.5,0.8671157450371032,7700.0,4000.0,0.9999999998701298,1.9249999995187501,49.999999933460074,0.12969483566172316
2024-09-01,4840.0,4840.0,4790.0,4827.68,0.0,0.0,27991.0,135131550.0,PROMIGAS,-0.05232581900173979,-0.050980392156862786,-0.09079209982953579,-0.08679245283018866,0.16592774701827817,0.18048780487804872,-0.37142857142857144,0.17044729875418665,758.5714285714286,137280564.5,0.9843458212178243,7700.0,4000.0,0.6285714284897959,1.2099999996975,49.15887844035287,-0.2803509032368819
2024-09-02,5170.0,5170.0,5170.0,5162.16,0.98,50.0,7525.0,38845250.0,PROMIGAS,-0.06005556700110153,-0.05828779599271405,-0.3706961090087904,-0.3097463284379173,0.08937040841654065,0.09348561759729268,0.06818181818181812,0.1701466132108507,775.0,120670220.0,0.32191248180370996,7700.0,4000.0,0.6714285713413729,1.2924999996768751,50.22872820647738,-0.21956374062652823
2024-09-04,5570.0,5570.0,5500.0,5553.94,1.27,70.0,39413.0,218897400.0,PROMIGAS,-0.24269973010807713,-0.21549295774647892,-0.32382527492044555,-0.27662337662337666,0.2842171069204516,0.3287213740458015,0.07736943907156668,0.17077839944980988,691.4285714285714,116149345.5,1.8846201763573271,7700.0,4000.0,0.7233766232826784,1.392499999651875,44.262295018476216,-0.1467524509579117
2024-09-05,7000.0,7000.0,6850.0,6972.69,2.94,200.0,60051.0,418717210.0,PROMIGAS,-0.03509131981127006,-0.03448275862068961,-0.0953101798043249,-0.09090909090909094,0.5349231753450512,0.7073170731707317,0.25673249551166966,0.1800667406125201,757.1428571428571,137040401.0,3.05542896069019,7700.0,4000.0,0.9090909089728453,1.7499999995625,49.15887844035287,0.07642626478910867
2024-09-07,7320.0,7320.0,7200.0,7275.5,1.67,120.0,8733.0,63536970.0,PROMIGAS,-0.021622464013165657,-0.021390374331550777,0.46455402447817085,0.5913043478260869,0.44326060785254146,0.5577782506916364,0.04571428571428582,0.18018648699184153,742.8571428571429,133920146.5,0.47443922113689985,7700.0,4000.0,0.9506493505258896,1.8299999995425,48.19047612622222,0.12893275753717878
2024-09-08,7500.0,7520.0,7310.0,7484.93,0.0,0.0,25472.0,190656170.0,PROMIGAS,0.0,0.0,0.4054651081081644,0.5,0.5565205830281204,0.7445917655268668,0.024590163934426146,0.18016155601315717,757.8571428571429,141735153.5,1.3451579604067572,7700.0,4000.0,0.9740259738994771,1.87499999953125,49.06367034766935,0.15848007411824527
2024-09-09,7500.0,7500.0,7500.0,7490.3,0.0,0.0,4907.0,36754880.0,PROMIGAS,-0.026317308317373417,-0.025974025974025983,0.33967736757016137,0.404494382022472,0.5656338602609857,0.7605633802816902,0.0,0.15862995351173634,572.1428571428571,143478857.5,0.25616931052019104,7700.0,4000.0,0.9740259738994771,1.87499999953125,64.69135791287914,0.1367080933409051
2024-09-10,7700.0,7500.0,7500.0,7762.04,0.0,0.0,4446.0,34510010.0,PROMIGAS,0.0,0.0,0.15415067982725836,0.16666666666666674,0.6109090823229731,0.8421052631578947,0.026666666666666616,0.15860609448807517,570.0,140775149.0,0.245142770191632,7700.0,4000.0,0.9999999998701298,1.9249999995187501,65.41717038502534,0.1446409989379157
2024-09-12,7700.0,7700.0,7520.0,7691.22,0.0,0.0,16382.0,125997490.0,PROMIGAS,0.4277903951560003,0.5338645418326693,0.08112554481236853,0.08450704225352124,0.6181119946170313,0.8554216867469879,0.0,0.1451238200058838,557.8571428571429,128290214.0,0.9821286134887811,7700.0,4000.0,0.9999999998701298,1.9249999995187501,63.88888877595399,0.13611213572318523
2024-10-01,4975.0,4975.0,4905.0,4960.57,2.79,135.0,29319.0,145438955.0,PROMIGAS,-0.06139287525965194,-0.05954631379962194,-0.37104358068630156,-0.30998613037447986,0.12168511122241331,0.12939841089670834,-0.35389610389610393,0.1665380545246506,664.6428571428571,125628260.75,1.157692975543314,7700.0,4000.0,0.6461038960199865,1.2437499996890626,40.23541995042312,-0.25381529112395435
2024-10-04,5600.0,5600.0,5570.0,5577.56,0.54,30.0,88902.0,495856480.0,PROMIGAS,-0.17185025692665928,-0.1578947368421053,-0.3184537311185346,-0.2727272727272727,0.19649292656777204,0.2171267115844382,0.12562814070351758,0.1682154956800644,680.7142857142857,148378601.25,3.3418328237542716,7700.0,4000.0,0.7272727271782763,1.39999999965,41.640543303765135,-0.14663415746936886
2024-10-05,7200.0,7200.0,7030.0,7107.78,2.86,200.0,230228.0,1636410210.0,PROMIGAS,0.0013898542890542977,0.0013908205841446364,-0.06713930283762856,-0.06493506493506496,0.5409030790032686,0.717557251908397,0.2857142857142858,0.17993145107439676,772.8571428571429,227673904.25,7.1875176709014195,7700.0,4000.0,0.9350649349434981,1.79999999955,48.62005513517196,0.10138054990991922
2024-10-07,7200.0,7250.0,7180.0,7205.91,-1.64,-120.0,54730.0,394379660.0,PROMIGAS,-0.040821994520255166,-0.040000000000000036,-0.06713930283762856,-0.06493506493506496,0.5630940523117475,0.7560975609756098,0.0,0.16019963350392305,776.4285714285714,242067036.75,1.629216704987811,7700.0,4000.0,0.9350649349434981,1.79999999955,47.656982130534416,0.08413325803363324
2024-10-09,7500.0,7250.0,7180.0,7505.9,-1.64,-120.0,1111.0,8339050.0,PROMIGAS,0.0,0.0,0.4845083154486173,0.6233766233766234,0.46734051182625186,0.5957446808510638,0.04166666666666674,0.1601023995941674,781.4285714285714,241521050.75,0.034527218120758214,7700.0,4000.0,0.9740259738994771,1.87499999953125,49.088422909094085,0.1096726465530353
2024-10-10,7700.0,7700.0,7700.0,7718.57,-1.64,0.0,3529.0,27238840.0,PROMIGAS,0.0,0.0,0.36599467588753465,0.44194756554307113,0.586099776809895,0.7969661610268377,0.026666666666666616,0.15989286453031434,587.8571428571429,239531042.75,0.1137173691028817,7700.0,4000.0,0.9999999998701298,1.9249999995187501,67.20818279892725,0.12101910826263597
2024-10-12,7800.0,7800.0,7510.0,7736.93,1.3,100.0,23583.0,182460070.0,PROMIGAS,0.012903404835907782,0.01298701298701288,0.16705408466316624,0.18181818181818188,0.6271673908567658,0.8722995679308689,0.01298701298701288,0.1524087362571232,585.0,236234991.75,0.7723668227486422,7800.0,4000.0,0.9999999998717948,1.9499999995125001,66.27475236041504,0.12737127369432755
2024-11-01,5010.0,5010.0,5010.0,4989.74,0.7,35.0,6366.0,31764655.0,PROMIGAS,-0.0019940186068643953,-0.0019920318725099584,-0.3556764416091428,-0.29930069930069925,0.12869565570863062,0.13734392735527812,-0.35769230769230764,0.1737435566511062,755.7142857142857,229944272.5,0.13814066623468457,7800.0,4000.0,0.6423076922253451,1.252499999686875,47.32569239135056,-0.2642361493168504
